onset	duration	sample	trial_type	response_time	stim_file	value	block	currentBlockNr	condition	training	box	trial_nr	normal_or_conflict	cube	isiTime	reaction_time	vibroFeedback	vibroFeedbackDuration	visualFeedback	ipq_question_nr_1_answer	ipq_question_nr_2_answer	ipq_question_nr_3_answer	ipq_question_nr_4_answer
10.4640000000	n/a	n/a	block_start	n/a	n/a	n/a	start	1	vibro	false	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.2320000000	n/a	n/a	box_spawned	n/a	n/a	n/a	n/a	n/a	ems	n/a	spawned	1	normal	CubeRight (UnityEngine.GameObject)	1.175272	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.1580000000	n/a	n/a	duplicate_event	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.1620000000	n/a	n/a	box_touched	n/a	n/a	n/a	n/a	n/a	ems	n/a	touched	1	normal	CubeRight (UnityEngine.GameObject)	1.175272	0.9155216	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.2580000000	n/a	n/a	vibroFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	0.1007722	n/a	n/a	n/a	n/a	n/a
16.6480000000	n/a	n/a	visualFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	n/a	n/a	n/a	n/a
18.7580000000	n/a	n/a	box_spawned	n/a	n/a	n/a	n/a	n/a	ems	n/a	spawned	2	normal	CubeLeft (UnityEngine.GameObject)	1.461376	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.4280000000	n/a	n/a	duplicate_event	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.4340000000	n/a	n/a	box_touched	n/a	n/a	n/a	n/a	n/a	ems	n/a	touched	2	normal	CubeLeft (UnityEngine.GameObject)	1.461376	0.6590509	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.5300000000	n/a	n/a	vibroFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	0.1005538	n/a	n/a	n/a	n/a	n/a
21.9200000000	n/a	n/a	visualFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	n/a	n/a	n/a	n/a
24.4440000000	n/a	n/a	box_spawned	n/a	n/a	n/a	n/a	n/a	ems	n/a	spawned	3	normal	CubeLeft (UnityEngine.GameObject)	1.976811	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.0800000000	n/a	n/a	duplicate_event	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.0860000000	n/a	n/a	box_touched	n/a	n/a	n/a	n/a	n/a	ems	n/a	touched	3	normal	CubeLeft (UnityEngine.GameObject)	1.976811	0.6255624	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.1840000000	n/a	n/a	vibroFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	0.1046308	n/a	n/a	n/a	n/a	n/a
27.5720000000	n/a	n/a	visualFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	n/a	n/a	n/a	n/a
29.4700000000	n/a	n/a	box_spawned	n/a	n/a	n/a	n/a	n/a	ems	n/a	spawned	4	conflict	CubeMiddle (UnityEngine.GameObject)	1.310473	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.9620000000	n/a	n/a	duplicate_event	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.9660000000	n/a	n/a	box_touched	n/a	n/a	n/a	n/a	n/a	ems	n/a	touched	4	conflict	CubeMiddle (UnityEngine.GameObject)	1.310473	0.4805346	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.0640000000	n/a	n/a	vibroFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	0.1008556	n/a	n/a	n/a	n/a	n/a
32.4520000000	n/a	n/a	visualFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	n/a	n/a	n/a	n/a
34.4520000000	n/a	n/a	box_spawned	n/a	n/a	n/a	n/a	n/a	ems	n/a	spawned	5	normal	CubeMiddle (UnityEngine.GameObject)	1.520026	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.0920000000	n/a	n/a	duplicate_event	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.0960000000	n/a	n/a	box_touched	n/a	n/a	n/a	n/a	n/a	ems	n/a	touched	5	normal	CubeMiddle (UnityEngine.GameObject)	1.520026	0.6248357	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.1900000000	n/a	n/a	vibroFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	0.104777	n/a	n/a	n/a	n/a	n/a
37.5800000000	n/a	n/a	visualFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	n/a	n/a	n/a	n/a
39.5680000000	n/a	n/a	box_spawned	n/a	n/a	n/a	n/a	n/a	ems	n/a	spawned	6	normal	CubeLeft (UnityEngine.GameObject)	1.435687	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.1580000000	n/a	n/a	duplicate_event	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.1640000000	n/a	n/a	box_touched	n/a	n/a	n/a	n/a	n/a	ems	n/a	touched	6	normal	CubeLeft (UnityEngine.GameObject)	1.435687	0.5800683	n/a	n/a	n/a	n/a	n/a	n/a	n/a
40.2600000000	n/a	n/a	vibroFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	0.1013028	n/a	n/a	n/a	n/a	n/a
42.6500000000	n/a	n/a	visualFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	n/a	n/a	n/a	n/a
44.5820000000	n/a	n/a	box_spawned	n/a	n/a	n/a	n/a	n/a	ems	n/a	spawned	7	normal	CubeMiddle (UnityEngine.GameObject)	1.431612	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.9320000000	n/a	n/a	duplicate_event	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.9380000000	n/a	n/a	box_touched	n/a	n/a	n/a	n/a	n/a	ems	n/a	touched	7	normal	CubeMiddle (UnityEngine.GameObject)	1.431612	1.340654	n/a	n/a	n/a	n/a	n/a	n/a	n/a
46.0340000000	n/a	n/a	vibroFeedback_off	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	off	0.100585	n/a	n/a	n/a	n/a	n/a
